Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Skin Color,Critical,Progressive,Maintenance,Maintenance,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Subnormal,Maintenance,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Pain Level,High,Chronic,Immediate,Emergency,Standard protocol,Immediate,Red flag - Immediate intervention required
Pupil Response,Normal,Unstable,Baseline,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Skin Color,High,Acute,Urgent,Urgent,Code Blue,Immediate,Red flag - Immediate intervention required
Pupil Response,Low,Stable,Follow-up,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Stable,Follow-up,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Stable,Urgent,Rescue,Call 911,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Stable,Watch,Evaluate,Follow protocol,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Acute,Standard,Maintenance,Routine care,Routine,Standard care - Follow routine protocol
Blood Pressure,Moderate,Crisis,Baseline,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Progressive,Baseline,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Moderate,Unstable,Regular,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Watch,Evaluate,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Unstable,Regular,Standard,Prevention,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Stable,Emergency,Routine,Maintenance,Immediate,Red flag - Immediate intervention required
Temperature,High,Fever,Resuscitation,Regular,Maintenance,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Chronic,Watch,Observe,Document,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Stable,Maintenance,Regular,Routine care,Routine,Standard care - Follow routine protocol
Blood Pressure,Normal,Crisis,Normal,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Pupil Response,Low,Stable,Watch,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Heart Rate,Critical,Bradycardia,Maintenance,Normal,Call 911,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Chronic,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Progressive,Baseline,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Unstable,Normal,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Normal,Chronic,Standard,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Pain Level,Low,Stable,Follow-up,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,Critical,Unstable,Regular,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Watch,Observe,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Critical,Acute,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Progressive,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Stable,Maintenance,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Critical,Hyperthermia,Maintenance,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Acute,Baseline,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Unstable,Standard,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Progressive,Urgent,Rescue,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Normal,Stable,Regular,Routine,Prevention,Routine,Standard care - Follow routine protocol
Blood Glucose,High,Chronic,Critical,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Stable,Normal,Normal,Follow up,Routine,Standard care - Follow routine protocol
Blood Pressure,Low,Normal,Monitor,Observe,Monitor closely,Monitor,Continue monitoring - Watch for changes
Motor Function,Normal,Stable,Regular,Normal,Routine care,Routine,Standard care - Follow routine protocol
AVPU Score,High,Acute,Emergency,Maintenance,Standard protocol,Immediate,Red flag - Immediate intervention required
Temperature,Low,Subnormal,Watch,Evaluate,Monitor closely,Monitor,Continue monitoring - Watch for changes
Heart Rate,High,Bradycardia,Immediate,Critical,Code Blue,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Low,Progressive,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Temperature,High,Normal,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Blood Glucose,Low,Chronic,Routine,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Sensory Function,Normal,Progressive,Standard,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Critical,Unstable,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Unstable,Regular,Normal,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Unstable,Maintenance,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Chronic,Resuscitation,Routine,Follow up,Immediate,Red flag - Immediate intervention required
Sensory Function,High,Stable,Immediate,Rescue,Prevention,Immediate,Red flag - Immediate intervention required
Pain Level,Critical,Progressive,Baseline,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Pain Level,Low,Progressive,Monitor,Observe,Document,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Chronic,Critical,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypertension,Emergency,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,High,Stable,Emergency,Maintenance,Standard protocol,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Progressive,Observe,Regular,Check again,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Normal,Stable,Baseline,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
AVPU Score,High,Chronic,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Low,Acute,Watch,Check,Check again,Monitor,Continue monitoring - Watch for changes
Skin Color,Low,Unstable,Watch,Evaluate,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Glucose,High,Stable,Critical,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Pupil Response,Moderate,Stable,Normal,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Chronic,Watch,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Unstable,Maintenance,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Acute,Maintenance,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Oxygen Saturation,High,Progressive,Immediate,Emergency,Prevention,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Unstable,Follow-up,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Chronic,Regular,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Chronic,Monitor,Watch,Document,Monitor,Continue monitoring - Watch for changes
Pupil Response,Normal,Acute,Maintenance,Routine,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Progressive,Standard,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Progressive,Normal,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,High,Hypertension,Urgent,Critical,Call 911,Immediate,Red flag - Immediate intervention required
AVPU Score,Critical,Stable,Standard,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,High,Chronic,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
Capillary Refill,Moderate,Stable,Normal,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Unstable,Baseline,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Progressive,Follow-up,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Progressive,Baseline,Routine,Prevention,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Unstable,Maintenance,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Pupil Response,High,Stable,Critical,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Unstable,Regular,Normal,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Normal,Acute,Baseline,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Temperature,Low,Normal,Monitor,Assess,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Progressive,Regular,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Maintenance,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Hypertension,Regular,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Low,Chronic,Routine,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Moderate,Unstable,Regular,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Progressive,Standard,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Critical,Chronic,Baseline,Maintenance,Call 911,Immediate,Red flag - Immediate intervention required
Capillary Refill,Critical,Stable,Baseline,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Acute,Regular,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Progressive,Standard,Maintenance,Emergency Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Progressive,Routine,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Unstable,Maintenance,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Mental Status,Low,Acute,Routine,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Pupil Response,Low,Chronic,Follow-up,Normal,Routine care,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Irregular,Maintenance,Standard,Follow up,Routine,Standard care - Follow routine protocol
Heart Rate,Low,Bradycardia,Routine,Normal,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pupil Response,Critical,Acute,Standard,Standard,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Unstable,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Skin Color,Critical,Stable,Regular,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Pre-hypertension,Standard,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Temperature,Critical,Hypothermia,Standard,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Chronic,Maintenance,Normal,Rapid Response,Immediate,Red flag - Immediate intervention required
Skin Color,Normal,Stable,Normal,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Normal,Unstable,Normal,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,High,Chronic,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Stable,Immediate,Emergency,Routine care,Immediate,Red flag - Immediate intervention required
Sensory Function,Moderate,Stable,Regular,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Chronic,Regular,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Unstable,Routine,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Progressive,Regular,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Unstable,Normal,Regular,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Stable,Resuscitation,Standard,Maintenance,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Normal,Progressive,Standard,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Critical,Progressive,Regular,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Blood Pressure,Normal,Pre-hypertension,Regular,Standard,Prevention,Routine,Standard care - Follow routine protocol
Pupil Response,Critical,Acute,Regular,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Low,Progressive,Watch,Assess,Follow protocol,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Hypertension,Normal,Routine,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Moderate,Chronic,Normal,Routine,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Moderate,Acute,Standard,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Stable,Maintenance,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Mental Status,Critical,Chronic,Standard,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Stable,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
